step,time,n_particles,max_u,min_sigma,min_sigma_ratio,max_gamma_over_sigma2,wall_s,max_dtZ
126,0.03888888888888889,116108,21.725990059666533,0.0007974967600757195,0.3359794009389407,1348.3918942330392,54.407657861709595,0.10145021177383513
127,0.039197530864197534,117145,19.972443083613765,0.000789854983937061,0.33275997799240464,1315.9121378216705,66.3981671333313,0.0995658843106734
128,0.03950617283950617,118179,22.913515546997914,0.0007889713410872582,0.3323877058902677,1260.9869639530873,67.60650396347046,0.0956508358969952
129,0.03981481481481482,119213,23.50917270991475,0.0007936856431237199,0.3343738059640853,1187.1424138152506,67.31806302070618,0.1098180221560752
130,0.040123456790123455,120252,29.661567078424294,0.0008020744302644994,0.33790793904055794,1105.8675607614657,65.04782295227051,0.10029323681505022
131,0.0404320987654321,121285,32.56431329864598,0.0008123081022379388,0.34221930825378877,1018.3706285403817,57.92835712432861,0.07573276114446337
132,0.040740740740740744,122327,25.79081554465903,0.0007849814973960364,0.33070681468126845,932.5859471392794,66.73990797996521,0.07348671455114919
133,0.04104938271604938,123368,29.33845085717816,0.0007580306645302802,0.3193526310226633,877.4111345934862,61.67262387275696,0.08562060735824006
134,0.04135802469135803,124402,23.807852460829498,0.0007416849156338002,0.3124662896642153,841.1815954317066,70.55614018440247,0.1148615286536654
135,0.041666666666666664,125446,23.72733478319322,0.0008495714875823157,0.3579180928905714,763.5970450849165,68.68950581550598,0.10895947527285214
136,0.04197530864197531,126488,24.951412333092055,0.0008544079965744151,0.3599556778378094,735.2271109388745,73.77036905288696,0.059492486479083374
137,0.042283950617283954,127531,25.65619190027965,0.000854647346191181,0.36005651403537386,735.4962253498572,70.56147408485413,0.087679244362066
138,0.04259259259259259,128575,19.536667081363127,0.0008481065659630628,0.3573009324045372,795.9009214461781,47.961535930633545,0.06354373536850606
139,0.042901234567901236,129616,21.216931800099687,0.0008352106370314077,0.35186797431126887,752.1868305915028,71.82150602340698,0.06864786672756493
140,0.043209876543209874,130650,23.59521837908411,0.0008198577506616317,0.3453999184852976,810.945157554142,47.27219104766846,0.05867848165589992
141,0.04351851851851852,131686,20.286012829341622,0.0008064868570005221,0.3397668613154461,850.3989296534742,45.801657915115356,0.06627990762960775
142,0.043827160493827164,132712,23.504010815228458,0.0007975377816835656,0.33599668303451735,869.1142564961834,73.15551209449768,0.10063526002117897
143,0.0441358024691358,133737,22.154931385039713,0.0007927219298924943,0.3339678008110695,885.5868164635028,43.583961963653564,0.05811403569690697
144,0.044444444444444446,134771,23.40330466941777,0.0007894795123721465,0.33260179463948714,905.1207780860439,47.78379201889038,0.07590407525581382
145,0.044753086419753084,135804,25.42083997174133,0.0007843336193730336,0.3304338685315821,933.2757230138413,73.96868205070496,0.08429741116009175
146,0.04506172839506173,136835,24.547748528991217,0.0007750965486047278,0.3265423599279969,971.2770553138461,51.53817677497864,0.07924961291461398
147,0.04537037037037037,137877,31.910744161180496,0.0007631963367035262,0.321528889948216,1017.1079036708594,46.43529009819031,0.0675246951007442
148,0.04567901234567901,138910,26.857677471853638,0.0007501550470274883,0.31603469246406524,1056.8290974287688,59.932831048965454,0.07406724832327853
149,0.045987654320987656,139945,26.168607691660622,0.0007363905661650102,0.3102358199595903,1078.219235971429,57.65788984298706,0.1020118916598478
150,0.046296296296296294,140987,26.40449605866624,0.0007246740471880773,0.30529973843044916,1066.1901892862988,67.42604207992554,0.0855999175931265
151,0.04660493827160494,142019,26.255155355984474,0.0007166764509483317,0.30193041114524977,1026.5806911446919,71.28188514709473,0.09714674471321633
152,0.04691358024691358,143062,26.668097760950534,0.0007111969862663143,0.299621953790319,979.060940785812,59.03302788734436,0.11248912861897417
153,0.04722222222222222,144100,28.724097250733006,0.000706213761484459,0.2975225585817505,982.0964654293224,79.91371989250183,0.09008453868790481
154,0.047530864197530866,145136,25.907732707674704,0.0007017624807877747,0.2956472674247795,1180.335593158788,66.02768301963806,0.09598422946509683
155,0.047839506172839504,146171,29.718871571273638,0.0007001143130527301,0.29495290672516405,1204.9700593534067,60.97389507293701,0.09324428125703069
156,0.04814814814814815,147219,27.345447480319972,0.0006882243938862374,0.2899437729972837,1233.3500409127355,60.19122910499573,0.09079736765284253
157,0.04845679012345679,148254,26.175204025916408,0.0006739211062075429,0.28391790522411703,1831.929861187919,52.80833601951599,0.11832108437831301
158,0.04876543209876543,149290,29.360138165259833,0.0006228070957439109,0.2623839561538696,2734.859151078245,52.4734787940979,0.17073274870631178
159,0.049074074074074076,150319,30.08282712312343,0.0005442810869104092,0.22930153785852647,3799.9028079113514,83.50495100021362,0.11024351452197428
160,0.04938271604938271,151346,28.726220819252116,0.0004933285722573481,0.20783562576147585,4276.641423159324,55.34217619895935,0.10427198337255963
161,0.04969135802469136,152367,26.904672486282266,0.00046798929695055175,0.19716037921000898,4441.521699697807,86.99051594734192,0.10606820116888496
162,0.05,153392,28.37546503965681,0.0004510801490626857,0.19003668208399963,4366.30284848227,88.13759589195251,0.08825936753325031
163,0.05030864197530864,154419,35.347273794631,0.00044466690601898166,0.18733483091197112,4203.376483976761,88.72962808609009,0.07131516544499365
164,0.050617283950617285,155444,33.04076060834417,0.0004414899795312808,0.18599641562102567,4016.639635291688,82.96073889732361,0.08409686597001823
165,0.05092592592592592,156479,29.707955001451428,0.0004357143129173028,0.18356317061473484,3860.008914891445,80.69483709335327,0.13037284212651717
166,0.05123456790123457,157514,32.72963819955438,0.000673749557051043,0.28384563285171643,3818.8801333623956,82.8420078754425,0.12192808288516074
167,0.05154320987654321,158559,35.61538104869621,0.0006693399390643791,0.2819878938818575,3939.2002751284017,68.50696516036987,0.10888409392622353
168,0.05185185185185185,159600,29.453685112522283,0.0006663482341609209,0.2807275110545285,4108.668916416009,66.69942688941956,0.13066874311447757
169,0.052160493827160495,160645,26.594966913832135,0.000665040529585464,0.28017658492935477,4159.265421366501,87.12248015403748,0.09057332967933997
170,0.05246913580246913,161689,33.53170313041391,0.0006652857109982134,0.28027987801880766,3952.5929692786376,86.119304895401,0.07595743552392807
171,0.05277777777777778,162721,27.764591061226792,0.0006664807445367818,0.28078333668157646,3453.716360468085,88.80803489685059,0.069688936560054
172,0.05308641975308642,163742,31.903085897279905,0.0006692850069464499,0.2819647513927615,2774.745185253573,89.36372423171997,0.08036117609819754
173,0.05339506172839506,164758,31.69237589775594,0.0006750440206974032,0.2843909806728161,2386.6116293217124,89.32588386535645,0.08613483175209934
174,0.053703703703703705,165783,30.735257472013544,0.0006837022837804883,0.2880386419417478,2237.75993650632,88.92556595802307,0.07878076338380859
175,0.05401234567901234,166794,30.913398583065035,0.0006937776942209237,0.29228333675865215,2048.7022492070705,91.41811513900757,0.07632458258485057
176,0.05432098765432099,167814,30.98285613752456,0.0006778060892579604,0.2855546194319757,1847.5696216954013,58.52911591529846,0.11366784387997672
177,0.05462962962962963,168837,28.577916298176195,0.0006332383061771535,0.26677854683796987,1620.6322504351488,82.20339393615723,0.0892108140334173
178,0.05493827160493827,169856,27.160801930001455,0.000584367095603882,0.24618947253250237,1380.116745931887,62.123279094696045,0.14321872215279718
179,0.055246913580246915,170857,29.314383220204167,0.0005344244611656031,0.22514901539222223,1518.7804538968005,95.81118106842041,0.1333201853690349
180,0.05555555555555555,171861,33.15668843778974,0.0004872046653722611,0.20525566974201565,1663.904168613485,72.16811800003052,0.13339943446308314
181,0.0558641975308642,172866,37.68249216504162,0.00044955693313649173,0.18939496264386707,1775.2038860232774,53.79387092590332,0.0723541223158948
182,0.05617283950617284,173882,29.290963127221968,0.0004330533262436665,0.182442116896059,1907.4657510760082,111.57126688957214,0.0809796243340665
183,0.05648148148148148,174894,32.09915746433829,0.00043686554879433434,0.1840481776513374,1877.6604205553574,91.07429504394531,0.11643361904757643
