cos_theta,P_num,P_exact,rel_err,is_cap
-5.240840e-01,-6.180917e-01,-6.010038e-01,1.542054e-02,0
-5.198465e-01,-6.222932e-01,-5.984509e-01,2.151586e-02,0
-4.542231e-01,-5.734257e-01,-5.573369e-01,1.451897e-02,0
-4.312366e-01,-5.621658e-01,-5.422338e-01,1.798718e-02,0
-3.669067e-01,-5.129187e-01,-4.980309e-01,1.343516e-02,0
-3.260546e-01,-4.837615e-01,-4.684799e-01,1.379053e-02,0
-2.654903e-01,-4.358166e-01,-4.225535e-01,1.196888e-02,0
-2.083425e-01,-3.870390e-01,-3.769003e-01,9.149384e-03,0
-1.538712e-01,-3.422648e-01,-3.312905e-01,9.903518e-03,0
-8.262390e-02,-2.733208e-01,-2.685477e-01,4.307314e-03,0
-3.633899e-02,-2.337324e-01,-2.259135e-01,7.055942e-03,0
4.626989e-02,-1.456074e-01,-1.461518e-01,4.913016e-04,0
8.258975e-02,-1.132784e-01,-1.095955e-01,3.323519e-03,0
1.733856e-01,-8.670031e-03,-1.423231e-02,5.019540e-03,0
1.983446e-01,1.439572e-02,1.297769e-02,1.279663e-03,0
2.938381e-01,1.311115e-01,1.210463e-01,9.083132e-03,0
3.064772e-01,1.431383e-01,1.358206e-01,6.603645e-03,0
4.029986e-01,2.661644e-01,2.522785e-01,1.253101e-02,0
4.028320e-01,2.657731e-01,2.520719e-01,1.236425e-02,0
4.966721e-01,3.883488e-01,3.714384e-01,1.526033e-02,0
4.837063e-01,3.747147e-01,3.545843e-01,1.816615e-02,0
5.712588e-01,4.897197e-01,4.706423e-01,1.721592e-02,0
5.459920e-01,4.626971e-01,4.366068e-01,2.354448e-02,0
6.238923e-01,5.633271e-01,5.429544e-01,1.838483e-02,0
5.872955e-01,5.235218e-01,4.924725e-01,2.801959e-02,0
6.525500e-01,6.039480e-01,5.831293e-01,1.878736e-02,0
6.060295e-01,5.527250e-01,5.181991e-01,3.115702e-02,0
7.902420e-01,8.112240e-01,7.840493e-01,2.452314e-02,0
7.436254e-01,7.572136e-01,7.145636e-01,3.848844e-02,0
7.644344e-01,7.707441e-01,7.453961e-01,2.287463e-02,0
7.096873e-01,7.075288e-01,6.649182e-01,3.845286e-02,0
