step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
331,0.10216049,2.822406e-01,4.569220e+02,-
332,0.10246914,2.813331e-01,4.445164e+02,-
333,0.10277778,2.802797e-01,4.322552e+02,-
334,0.10308642,2.793376e-01,4.590358e+02,-
335,0.10339506,2.786119e-01,4.934956e+02,-
336,0.10370370,2.779771e-01,5.243357e+02,-
337,0.10401235,2.773781e-01,5.507018e+02,-
338,0.10432099,2.743898e-01,5.721743e+02,-
339,0.10462963,2.682324e-01,5.890736e+02,-
340,0.10493827,2.628324e-01,6.032433e+02,-
341,0.10524691,2.598008e-01,6.156909e+02,-
342,0.10555556,2.603156e-01,6.268353e+02,-
343,0.10586420,2.630001e-01,6.370673e+02,-
344,0.10617284,2.649346e-01,6.753423e+02,-
345,0.10648148,2.606914e-01,7.269351e+02,-
346,0.10679012,2.570614e-01,7.764728e+02,-
347,0.10709877,2.544360e-01,8.184204e+02,-
348,0.10740741,2.535545e-01,8.424963e+02,-
349,0.10771605,2.553286e-01,8.343881e+02,-
350,0.10802469,2.592428e-01,7.992816e+02,-
351,0.10833333,2.599910e-01,7.817962e+02,-
352,0.10864198,2.563219e-01,8.090430e+02,-
353,0.10895062,2.532795e-01,8.333668e+02,-
354,0.10925926,2.508667e-01,8.534915e+02,-
355,0.10956790,2.490634e-01,8.689986e+02,-
356,0.10987654,2.477828e-01,8.799072e+02,-
357,0.11018519,2.469325e-01,8.863990e+02,-
358,0.11049383,2.464770e-01,8.888269e+02,-
359,0.11080247,2.464332e-01,8.883711e+02,-
360,0.11111111,2.467795e-01,8.866292e+02,-
361,0.11141975,2.474775e-01,8.838544e+02,-
362,0.11172840,2.484754e-01,8.788341e+02,-
363,0.11203704,2.497540e-01,8.708375e+02,-
364,0.11234568,2.513113e-01,8.585034e+02,-
365,0.11265432,2.531437e-01,8.470010e+02,-
366,0.11296296,2.552708e-01,8.378068e+02,-
367,0.11327160,2.576971e-01,8.260797e+02,-
368,0.11358025,2.604043e-01,8.596582e+02,-
369,0.11388889,2.633557e-01,9.315179e+02,-
370,0.11419753,2.640882e-01,1.009990e+03,-
371,0.11450617,2.648502e-01,1.099234e+03,-
372,0.11481481,2.632292e-01,1.195124e+03,-
373,0.11512346,2.612104e-01,1.292824e+03,-
374,0.11543210,2.604471e-01,1.382401e+03,-
375,0.11574074,2.613281e-01,1.456653e+03,-
376,0.11604938,2.634663e-01,1.497859e+03,-
377,0.11635802,2.663322e-01,1.490640e+03,-
378,0.11666667,2.689913e-01,1.434127e+03,-
379,0.11697531,2.689439e-01,1.336069e+03,-
380,0.11728395,2.692012e-01,1.228562e+03,-
381,0.11759259,2.694459e-01,1.208574e+03,-
382,0.11790123,2.656025e-01,1.220208e+03,-
383,0.11820988,2.625070e-01,1.293427e+03,-
384,0.11851852,2.573845e-01,1.442494e+03,-
385,0.11882716,2.510788e-01,1.572361e+03,-
386,0.11913580,2.410672e-01,1.646040e+03,-
387,0.11944444,2.369664e-01,1.633074e+03,-
388,0.11975309,2.358514e-01,1.495823e+03,-
389,0.12006173,2.316442e-01,1.481664e+03,-
390,0.12037037,2.297670e-01,1.557752e+03,-
391,0.12067901,2.280390e-01,1.534598e+03,-
392,0.12098765,2.268359e-01,1.464238e+03,-
393,0.12129630,2.262958e-01,1.407074e+03,-
394,0.12160494,2.263486e-01,1.328981e+03,-
395,0.12191358,2.268283e-01,1.241192e+03,-
396,0.12222222,2.275470e-01,1.170232e+03,-
397,0.12253086,2.286585e-01,1.115611e+03,-
398,0.12283951,2.300534e-01,1.122925e+03,-
399,0.12314815,2.316224e-01,1.172850e+03,-
400,0.12345679,2.329363e-01,1.223098e+03,-
401,0.12376543,2.339600e-01,1.273104e+03,-
402,0.12407407,2.347623e-01,1.321693e+03,-
403,0.12438272,2.351466e-01,1.367832e+03,-
404,0.12469136,2.334647e-01,1.410007e+03,-
405,0.12500000,2.320020e-01,1.445978e+03,-
406,0.12530864,2.307336e-01,1.471738e+03,-
407,0.12561728,2.297737e-01,1.482618e+03,-
408,0.12592593,2.291948e-01,1.473701e+03,-
409,0.12623457,2.251401e-01,1.443079e+03,-
410,0.12654321,2.176850e-01,1.392574e+03,-
411,0.12685185,2.115271e-01,1.331161e+03,-
412,0.12716049,2.065298e-01,1.270572e+03,-
413,0.12746914,2.023543e-01,1.220304e+03,-
414,0.12777778,1.984575e-01,1.184784e+03,-
415,0.12808642,1.932836e-01,1.163518e+03,-
416,0.12839506,1.865388e-01,1.153048e+03,-
417,0.12870370,1.799925e-01,1.149220e+03,-
418,0.12901235,1.747513e-01,1.149060e+03,-
419,0.12932099,1.707796e-01,1.289225e+03,-
420,0.12962963,1.673639e-01,1.573920e+03,-
421,0.12993827,1.651629e-01,1.855579e+03,-
422,0.13024691,1.653939e-01,2.082774e+03,-
423,0.13055556,1.684865e-01,2.227884e+03,-
424,0.13086420,1.739956e-01,2.301616e+03,-
425,0.13117284,1.816054e-01,2.333363e+03,-
426,0.13148148,1.881988e-01,2.343847e+03,-
427,0.13179012,1.894852e-01,2.333078e+03,-
428,0.13209877,1.915613e-01,2.285387e+03,-
429,0.13240741,1.948958e-01,2.181022e+03,-
430,0.13271605,1.996938e-01,2.197669e+03,-
431,0.13302469,2.056859e-01,2.458088e+03,-
432,0.13333333,2.119182e-01,2.740704e+03,-
433,0.13364198,2.151408e-01,3.020143e+03,-
434,0.13395062,2.129975e-01,3.250383e+03,-
435,0.13425926,2.117726e-01,3.370857e+03,-
436,0.13456790,2.115596e-01,3.402606e+03,-
437,0.13487654,2.116994e-01,3.441554e+03,-
438,0.13518519,2.078273e-01,3.493074e+03,-
439,0.13549383,2.004828e-01,3.536698e+03,-
440,0.13580247,1.925137e-01,3.617258e+03,-
441,0.13611111,1.838956e-01,3.738873e+03,-
442,0.13641975,1.750964e-01,3.880489e+03,-
443,0.13672840,1.668393e-01,4.014717e+03,-
444,0.13703704,1.595238e-01,4.806220e+03,-
445,0.13734568,1.530474e-01,4.354536e+03,-
446,0.13765432,1.469707e-01,4.632433e+03,-
447,0.13796296,1.411784e-01,4.869022e+03,-
448,0.13827160,1.357725e-01,5.622209e+03,-
449,0.13858025,1.309125e-01,5.986796e+03,-
450,0.13888889,1.266107e-01,5.840226e+03,-
451,0.13919753,5.233461e-02,1.834380e+04,-
452,0.13950617,5.938156e-02,1.382414e+04,-
453,0.13981481,6.570891e-02,1.117768e+04,-
454,0.14012346,7.143520e-02,9.763299e+03,-
455,0.14043210,7.816102e-02,8.477111e+03,-
456,0.14074074,8.101916e-02,1.023441e+04,-
457,0.14104938,8.460428e-02,1.277967e+04,-
458,0.14135802,8.705570e-02,1.511319e+04,-
459,0.14166667,8.874040e-02,1.569026e+04,-
460,0.14197531,9.129032e-02,1.756736e+04,-
461,0.14228395,9.368465e-02,1.985362e+04,-
462,0.14259259,9.573009e-02,2.011498e+04,-
463,0.14290123,9.540260e-02,1.899712e+04,-
464,0.14320988,9.652925e-02,1.862577e+04,-
465,0.14351852,9.796170e-02,1.876738e+04,-
466,0.14382716,1.018828e-01,1.898344e+04,-
467,0.14413580,9.850405e-02,1.873816e+04,-
468,0.14444444,9.236257e-02,1.736882e+04,-
469,0.14475309,9.262705e-02,1.363529e+04,-
470,0.14506173,9.510965e-02,1.413773e+04,-
471,0.14537037,9.538694e-02,1.406356e+04,-
472,0.14567901,9.526953e-02,1.376182e+04,-
473,0.14598765,9.632705e-02,1.331975e+04,-
474,0.14629630,2.915771e-02,5.087244e+05,-
475,0.14660494,3.822797e-02,3.347934e+05,-
476,0.14691358,4.482608e-02,3.101044e+05,-
477,0.14722222,5.008440e-02,3.044661e+05,-
478,0.14753086,5.324391e-02,3.322586e+05,-
479,0.14783951,5.756957e-02,3.244698e+05,-
480,0.14814815,6.369808e-02,2.733865e+05,-
481,0.14845679,3.785980e-02,2.087125e+05,-
482,0.14876543,4.937878e-02,1.362821e+05,-
483,0.14907407,5.527797e-02,4.043979e+05,-
484,0.14938272,5.405522e-02,7.963631e+05,-
485,0.14969136,6.528127e-02,3.415367e+05,-
486,0.15000000,4.038511e-02,8.300972e+05,-
487,0.15030864,2.752175e-02,3.331489e+07,-
488,0.15061728,3.219433e-02,1.905513e+07,-
489,0.15092593,2.715898e-02,1.411950e+09,-
490,0.15123457,2.716379e-02,7.587110e+08,-
491,0.15154321,2.733500e-02,5.281905e+08,-
492,0.15185185,2.642317e-02,3.991800e+08,-
493,0.15216049,2.645170e-02,3.181057e+08,-
