step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
403,0.12438272,1.517133e-01,3.596600e+03,-
404,0.12469136,1.498373e-01,4.038916e+03,-
405,0.12500000,1.492761e-01,4.448349e+03,-
406,0.12530864,1.481882e-01,4.782554e+03,-
407,0.12561728,1.466164e-01,5.021411e+03,-
408,0.12592593,1.458494e-01,5.159079e+03,-
409,0.12623457,1.450417e-01,5.303820e+03,-
410,0.12654321,1.440522e-01,5.474919e+03,-
411,0.12685185,1.431246e-01,5.635386e+03,-
412,0.12716049,1.424743e-01,5.756119e+03,-
413,0.12746914,1.420492e-01,5.852633e+03,-
414,0.12777778,1.413874e-01,6.021219e+03,-
415,0.12808642,1.403789e-01,6.248371e+03,-
416,0.12839506,1.419471e-01,6.231794e+03,-
417,0.12870370,1.421496e-01,6.404916e+03,-
418,0.12901235,1.418301e-01,6.605815e+03,-
419,0.12932099,1.414319e-01,6.815221e+03,-
420,0.12962963,1.402229e-01,7.188106e+03,-
421,0.12993827,1.377036e-01,7.826641e+03,-
422,0.13024691,1.339778e-01,8.796262e+03,-
423,0.13055556,1.303951e-01,9.852072e+03,-
424,0.13086420,1.282585e-01,1.058846e+04,-
425,0.13117284,1.279662e-01,1.072559e+04,-
426,0.13148148,1.292823e-01,1.030539e+04,-
427,0.13179012,1.317693e-01,9.538796e+03,-
428,0.13209877,1.338928e-01,8.964785e+03,-
429,0.13240741,1.349461e-01,8.731217e+03,-
430,0.13271605,1.359028e-01,8.530172e+03,-
431,0.13302469,1.371812e-01,8.248041e+03,-
432,0.13333333,1.382663e-01,8.023033e+03,-
433,0.13364198,1.390816e-01,7.861081e+03,-
434,0.13395062,1.400249e-01,7.674500e+03,-
435,0.13425926,1.411473e-01,7.473837e+03,-
436,0.13456790,1.423555e-01,7.271342e+03,-
437,0.13487654,1.436491e-01,7.057445e+03,-
438,0.13518519,1.404326e-01,6.813626e+03,-
439,0.13549383,1.344688e-01,6.633405e+03,-
440,0.13580247,1.296427e-01,6.574117e+03,-
441,0.13611111,1.267753e-01,6.633035e+03,-
442,0.13641975,1.238387e-01,6.696773e+03,-
443,0.13672840,1.210817e-01,6.604341e+03,-
444,0.13703704,1.190945e-01,6.395581e+03,-
445,0.13734568,1.173258e-01,6.199910e+03,-
446,0.13765432,1.145816e-01,6.069271e+03,-
447,0.13796296,1.108189e-01,5.986510e+03,-
448,0.13827160,1.070692e-01,5.908402e+03,-
449,0.13858025,1.037826e-01,9.375786e+03,-
450,0.13888889,1.009875e-01,9.012420e+03,-
451,0.13919753,9.861105e-02,7.940768e+03,-
452,0.13950617,9.661784e-02,7.296496e+03,-
453,0.13981481,9.496152e-02,6.980036e+03,-
454,0.14012346,9.356216e-02,6.569924e+03,-
455,0.14043210,9.229196e-02,5.934128e+03,-
456,0.14074074,9.098288e-02,5.607682e+03,-
457,0.14104938,8.948472e-02,6.037896e+03,-
458,0.14135802,8.769741e-02,6.543051e+03,-
459,0.14166667,8.561463e-02,7.005869e+03,-
460,0.14197531,8.331226e-02,7.106684e+03,-
461,0.14228395,8.093959e-02,6.581574e+03,-
462,0.14259259,7.865873e-02,5.113283e+03,-
463,0.14290123,7.659882e-02,4.696637e+03,-
464,0.14320988,7.481992e-02,6.025687e+03,-
465,0.14351852,7.331980e-02,6.497225e+03,-
466,0.14382716,7.205588e-02,7.519777e+03,-
467,0.14413580,7.098833e-02,7.456223e+03,-
468,0.14444444,7.009166e-02,1.074201e+04,-
469,0.14475309,6.936237e-02,1.093081e+04,-
470,0.14506173,6.879804e-02,1.076002e+04,-
471,0.14537037,6.839848e-02,8.436445e+03,-
472,0.14567901,6.813383e-02,8.508900e+03,-
473,0.14598765,6.798131e-02,1.943235e+04,-
474,0.14629630,6.788387e-02,2.303974e+04,-
475,0.14660494,6.778729e-02,1.875975e+04,-
476,0.14691358,6.763810e-02,1.678217e+04,-
477,0.14722222,6.742521e-02,1.853046e+04,-
478,0.14753086,6.714013e-02,2.469727e+04,-
479,0.14783951,6.679902e-02,3.604029e+04,-
480,0.14814815,6.640766e-02,3.699821e+04,-
481,0.14845679,6.598317e-02,3.549532e+04,-
482,0.14876543,6.553318e-02,3.685957e+04,-
483,0.14907407,6.507103e-02,3.779018e+04,-
484,0.14938272,6.458559e-02,3.742962e+04,-
485,0.14969136,6.406922e-02,3.587060e+04,-
486,0.15000000,6.351637e-02,3.539449e+04,-
487,0.15030864,6.292136e-02,3.040789e+04,-
488,0.15061728,-7.580655e-02,3.453357e+04,-
489,0.15092593,-2.463859e+00,3.678482e+04,-
490,0.15123457,-2.456235e+00,4.807943e+04,-
491,0.15154321,-2.452543e+00,2.075042e+05,-
492,0.15185185,-2.454973e+00,2.087130e+05,-
493,0.15216049,-2.455181e+00,2.067181e+05,-
494,0.15246914,-2.475224e+00,2.440158e+05,-
495,0.15277778,-2.498412e+00,3.381842e+05,-
496,0.15308642,-6.676614e+00,1.183280e+06,-
497,0.15339506,-7.530892e+00,2.288751e+06,-
498,0.15370370,-1.197114e+01,4.666706e+07,-
499,0.15401235,-2.274025e+01,4.823126e+07,-
500,0.15432099,-2.278416e+01,1.504696e+08,-
501,0.15462963,-2.286244e+01,1.473206e+08,-
