# x_over_c y_over_c
9.8227870922889904e-01 -1.1357906622144719e-03
9.8429158056431554e-01 -1.0212387251327627e-03
9.8618496019883828e-01 -9.1020459902287423e-04
9.8795838096937372e-01 -8.0329198595078307e-04
9.8961140531088287e-01 -7.0107390627047119e-04
9.9114362536434442e-01 -6.0409274578277568e-04
9.9255466307738693e-01 -5.1285984736334275e-04
9.9384417029756889e-01 -4.2785468237442397e-04
9.9501182885827877e-01 -3.4952365387852524e-04
9.9605735065723888e-01 -2.7827859768459135e-04
9.9698047772758991e-01 -2.1449505816915242e-04
9.9778098230154000e-01 -1.5851042332406439e-04
9.9845866686656404e-01 -1.1062200741023237e-04
9.9901336421413578e-01 -7.1085169888439337e-05
9.9944493748098495e-01 -4.0111556021824051e-05
9.9975328018286580e-01 -1.7867537892291963e-05
9.9993831624083029e-01 -4.4729248471398087e-06
1.0000000000000000e+00 0.0000000000000000e+00
