i,pi_up,pj_lo,y_mid,nia,nib,nic,nid,node_a,node_b,xa,ya,za,xb,yb,zb,n_up_x,n_up_y,n_up_z,n_lo_x,n_lo_y,n_lo_z,Da_col_a,Da_col_b,Da_a_x,Da_a_y,Da_a_z,Da_b_x,Da_b_y,Da_b_z,Da_a_dot_Vinf,Da_b_dot_Vinf,n_wake_dot_jump,gamma_up,gamma_lo,dGamma
41,7776,7777,0.0155575,3,2,3,2,97,1,0.5289549999999998,0.031115,1.3809394137023142e-7,0.49783999999999995,0.0,1.3809394137023142e-7,0.10566679538136428,-0.10566679538136392,0.9887714886199267,0.10585351879455958,-0.1058535187945592,-0.9887315435028963,42,41,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985594,12.792783848028222,14.601741554095575,-1.8089577060673534
42,7968,7969,0.0466725,3,2,3,2,193,97,0.56007,0.06223,1.3809394137023142e-7,0.5289549999999998,0.031115,1.3809394137023142e-7,0.10566679538136829,-0.10566679538136868,0.9887714886199258,0.10585351879455153,-0.1058535187945519,-0.9887315435028979,43,42,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966951607698558,12.34325666069098,14.162572657429244,-1.8193159967382648
43,8160,8161,0.07778750000000001,3,2,3,2,289,193,0.591185,0.09334500000000001,1.3809394137023147e-7,0.56007,0.06223,1.3809394137023142e-7,0.10566679538136027,-0.10566679538136026,0.9887714886199276,0.1058535187945596,-0.10585351879455956,-0.9887315435028963,44,43,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985607,11.817477988314343,13.652434389778955,-1.8349564014646127
44,8352,8353,0.10890250000000001,3,2,3,2,385,289,0.6222999999999999,0.12446,1.3809394137023142e-7,0.591185,0.09334500000000001,1.3809394137023147e-7,0.10566679538136832,-0.10566679538136797,0.9887714886199258,0.10585351879455956,-0.10585351879455923,-0.9887315435028963,45,44,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985578,11.262095427841098,13.114310558113647,-1.8522151302725494
45,8544,8545,0.1400175,3,2,3,2,481,385,0.6534149999999999,0.155575,1.3809394137023142e-7,0.6222999999999999,0.12446,1.3809394137023142e-7,0.10566679538136829,-0.10566679538136833,0.9887714886199258,0.10585351879455153,-0.10585351879455157,-0.988731543502898,46,45,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985585,10.693302231947245,12.562950045854135,-1.8696478139068908
46,8736,8737,0.1711325,3,2,3,2,577,481,0.6845299999999999,0.18669,1.3809394137023142e-7,0.6534149999999999,0.155575,1.3809394137023142e-7,0.10566679538136026,-0.10566679538136026,0.9887714886199275,0.10585351879455958,-0.10585351879455956,-0.9887315435028963,47,46,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985605,10.11825765447298,12.004851013914399,-1.8865933594414184
47,8928,8929,0.20224749999999997,3,2,3,2,673,577,0.7156449999999999,0.21780499999999997,1.3809394137023142e-7,0.6845299999999999,0.18669,1.3809394137023142e-7,0.10566679538136828,-0.10566679538136838,0.9887714886199257,0.10585351879455958,-0.10585351879455966,-0.9887315435028963,48,47,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985576,9.540548165177382,11.443278230700384,-1.9027300655230022
48,9120,9121,0.23336249999999997,3,2,3,2,769,673,0.7467599999999998,0.24891999999999997,1.3809394137023142e-7,0.7156449999999999,0.21780499999999997,1.3809394137023142e-7,0.1056667953813683,-0.10566679538136793,0.988771488619926,0.10585351879455958,-0.10585351879455919,-0.9887315435028963,49,48,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985578,8.962111744796756,10.880012270599362,-1.9179005258026063
49,9312,9313,0.2644775,3,2,3,2,865,769,0.7778749999999999,0.280035,1.3809394137023142e-7,0.7467599999999998,0.24891999999999997,1.3809394137023142e-7,0.10566679538136829,-0.10566679538136867,0.9887714886199258,0.10585351879455153,-0.10585351879455189,-0.9887315435028979,50,49,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966951607698558,8.38404887151894,10.316080136707743,-1.9320312651888027
50,9504,9505,0.2955924999999999,3,2,3,2,961,865,0.8089899999999999,0.3111499999999999,1.3809394137023142e-7,0.7778749999999999,0.280035,1.3809394137023142e-7,0.10566679538136027,-0.10566679538136046,0.9887714886199276,0.1058535187945435,-0.10585351879454366,-0.9887315435028996,51,50,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985616,7.807006469352518,9.752098516564345,-1.9450920472118272
